Key,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish
ORACLE_PerkSwapCostsResources,Swap Costs Resources,替换消耗资源,L'échange coûte des ressources,Tausch kostet Ressourcen,Lo scambio costa risorse,Wymiana kosztuje zasoby,Замена стоит ресурсов,El cambio cuesta recursos
ORACLE_PerkSwapCostsResources_DESCRIPTION,"Placeholder for a future update: make perk swapping cost resources. Currently has no effect.","为未来更新预留的占位选项：使替换天赋消耗资源。目前没有任何效果。","Réservé pour une future mise à jour : faire en sorte que l'échange de perk coûte des ressources. N'a actuellement aucun effet.","Platzhalter für ein zukünftiges Update: Perk-Tausch soll Ressourcen kosten. Hat derzeit keine Wirkung.","Segnaposto per un futuro aggiornamento: far costare risorse lo scambio dei perk. Attualmente non ha alcun effetto.","Zastępczy element dla przyszłej aktualizacji: sprawić, by wymiana perków kosztowała zasoby. Obecnie nie ma żadnego efektu.","Заготовка для будущего обновления: сделать замену перков платной. Сейчас ни на что не влияет.","Marcador de posición para una futura actualización: hacer que el cambio de perk cueste recursos. Actualmente no tiene efecto."
ORACLE_WIKI_TITLE_CLASS,CLASS PERKS,职业天赋,PERKS DE CLASSE,KLASSEN-PERKS,PERK DI CLASSE,PERKI KLASY,КЛАССОВЫЕ ПЕРКИ,PERKS DE CLASE
ORACLE_CONFIRM_SUBCLASS,Take {0} as a subclass?,选择 {0} 作为子职业吗？,Prendre {0} comme sous-classe ?,{0} als Unterklasse wählen?,Prendere {0} come sottoclasse?,Wziąć {0} jako podklasę?,Взять {0} как подкласс?,¿Tomar {0} como subclase?
ORACLE_EnableDebugLogging,Enable Oracle debug logging,启用 Oracle 调试日志,Activer la journalisation de débogage de Oracle,Oracle-Debug-Protokoll aktivieren,Abilita il log di debug di Oracle,Włącz dziennik debugowania Oracle,Включить отладочный журнал Oracle,Activar el registro de depuración de Oracle
ORACLE_EnableDebugLogging_DESCRIPTION,"When on, Oracle writes diagnostic messages to the player log. Leave off for normal play; turn on only to help diagnose an issue.","开启后，Oracle 会将诊断信息写入玩家日志。正常游戏时请保持关闭；仅在排查问题时开启。","Si activé, Oracle écrit des messages de diagnostic dans le journal du joueur. Laissez désactivé en jeu normal ; n'activez que pour aider à diagnostiquer un problème.","Wenn aktiviert, schreibt Oracle Diagnosemeldungen in das Spielerprotokoll. Im normalen Spiel deaktiviert lassen; nur zum Diagnostizieren eines Problems aktivieren.","Se attivo, Oracle scrive messaggi diagnostici nel log del giocatore. Lascia disattivato durante il gioco normale; attivalo solo per aiutare a diagnosticare un problema.","Gdy włączone, Oracle zapisuje komunikaty diagnostyczne w dzienniku gracza. Podczas normalnej gry pozostaw wyłączone; włącz tylko po to, by pomóc zdiagnozować problem.","Когда включено, Oracle записывает диагностические сообщения в журнал игрока. При обычной игре оставьте выключенным; включайте только для диагностики проблемы.","Si está activado, Oracle escribe mensajes de diagnóstico en el registro del jugador. Déjalo desactivado en el juego normal; actívalo solo para ayudar a diagnosticar un problema."
ORACLE_ShowEventOutcomePreview,Event Outcome Preview,事件结果预览,Aperçu du résultat,Ereignisergebnis-Vorschau,Anteprima esito evento,Podgląd wyniku zdarzenia,Предпросмотр исхода события,Vista previa del resultado
ORACLE_ShowEventOutcomePreview_DESCRIPTION,"When on, hovering an event answer shows a tooltip previewing its outcome (reputation, resources, soldier damage, items, research, etc.).","开启后，将鼠标悬停在事件选项上会显示一个提示框，预览其结果（声望、资源、士兵伤害、物品、研究等）。","Si activé, survoler une réponse d'événement affiche une infobulle prévisualisant son résultat (réputation, ressources, dégâts aux soldats, objets, recherche, etc.).","Wenn aktiviert, zeigt das Überfahren einer Ereignisantwort einen Tooltip mit einer Vorschau des Ergebnisses (Ruf, Ressourcen, Soldatenschaden, Gegenstände, Forschung usw.).","Se attivo, passando il mouse su una risposta dell'evento appare un tooltip che anticipa l'esito (reputazione, risorse, danni ai soldati, oggetti, ricerca, ecc.).","Gdy włączone, najechanie na odpowiedź w zdarzeniu pokazuje podpowiedź z podglądem wyniku (reputacja, zasoby, obrażenia żołnierzy, przedmioty, badania itd.).","Когда включено, наведение на вариант ответа в событии показывает подсказку с предпросмотром исхода (репутация, ресурсы, урон бойцам, предметы, исследования и т. д.).","Si está activado, pasar el cursor sobre una respuesta del evento muestra una información con la vista previa de su resultado (reputación, recursos, daño a soldados, objetos, investigación, etc.)."
ORACLE_EVT_RESEARCH,Research: {0},研究：{0},Recherche : {0},Forschung: {0},Ricerca: {0},Badanie: {0},Исследование: {0},Investigación: {0}
ORACLE_EVT_PHOENIXPEDIA,Phoenixpedia: {0},凤凰百科：{0},Phoenixpédia : {0},Phoenixpedia: {0},Phoenixpedia: {0},Phoenixpedia: {0},Phoenixpedia: {0},Phoenixpedia: {0}
ORACLE_EVT_MISSION,Mission: {0},任务：{0},Mission : {0},Mission: {0},Missione: {0},Misja: {0},Миссия: {0},Misión: {0}
ORACLE_EVT_FOLLOWUP,Leads to: {0},触发后续：{0},Mène à : {0},Führt zu: {0},Conduce a: {0},Prowadzi do: {0},Ведёт к: {0},Conduce a: {0}
ORACLE_EVT_VICTORY,Victory for {0},{0} 取得胜利,Victoire pour {0},Sieg für {0},Vittoria per {0},Zwycięstwo dla {0},Победа фракции {0},Victoria para {0}
ORACLE_EVT_ZONE_DAMAGE,Haven zone {0} damaged ({1}%),庇护所区域 {0} 受损（{1}%）,Zone de havre {0} endommagée ({1} %),Hafenzone {0} beschädigt ({1} %),Zona del rifugio {0} danneggiata ({1}%),Strefa przystani {0} uszkodzona ({1}%),Зона убежища {0} получила урон ({1}%),Zona del refugio {0} dañada ({1}%)
ORACLE_EVT_VARIABLE,Variable {0}: {1},变量 {0}：{1},Variable {0} : {1},Variable {0}: {1},Variabile {0}: {1},Zmienna {0}: {1},Переменная {0}: {1},Variable {0}: {1}
ORACLE_EVT_MISSIONWEIGHT,Mission weight: {0},任务权重：{0},Poids de mission : {0},Missionsgewichtung: {0},Peso missione: {0},Waga misji: {0},Вес миссии: {0},Peso de misión: {0}
ORACLE_EVT_TOK_HAVEN,a haven,某个庇护所,un havre,einem Hafen,un rifugio,przystań,убежище,un refugio
ORACLE_EVT_TOK_BASE,a Phoenix base,一座凤凰基地,une base Phénix,einer Phoenix-Basis,una base Phoenix,baza Feniksa,база «Феникса»,una base Phoenix
ORACLE_ITEM_SCRAP,Dismantle,拆解,Démantèlement,Zerlegen,Smantellamento,Demontaż,Разбор,Desmantelar
ORACLE_RES_MATERIALS,Materials,材料,Matériaux,Materialien,Materiali,Materiały,Материалы,Materiales
ORACLE_RES_TECH,Tech,科技,Tech,Technik,Tecnologia,Technologia,Технологии,Tecnología
ORACLE_RES_MUTAGEN,Mutagen,诱变剂,Mutagène,Mutagen,Mutageno,Mutagen,Мутаген,Mutágeno
ORACLE_RES_LIVINGCRYSTALS,Living Crystals,活体晶体,Cristaux vivants,Lebende Kristalle,Cristalli viventi,Żywe kryształy,Живые кристаллы,Cristales vivos
ORACLE_RES_ORICHALCUM,Orichalcum,山铜,Orichalque,Orichalcum,Oricalco,Orichalcum,Орихалк,Oricalco
ORACLE_RES_PROTEANMUTANE,Protean Mutane,变形素,Mutane protéiforme,Proteanisches Mutan,Mutano proteiforme,Mutan proteuszowy,Протеановый мутан,Mutano proteico
ORACLE_VAR_W,"Strange finds keep surfacing across the wastes — something out there is stirring.","废土之上不断有诡异的发现浮现——某种东西正在苏醒。","D'étranges trouvailles ne cessent de surgir des terres désolées — quelque chose s'éveille au-dehors.","Immer wieder tauchen seltsame Funde im Ödland auf — dort draußen regt sich etwas.","Strani ritrovamenti continuano ad affiorare nelle terre desolate: là fuori qualcosa si sta destando.","W pustkowiach wciąż pojawiają się dziwne znaleziska — coś tam się przebudza.","В пустошах то и дело всплывают странные находки — что-то там пробуждается.","Extraños hallazgos siguen apareciendo en los páramos: algo se agita ahí fuera."
ORACLE_VAR_POLYPHONIC,"The Polyphonic voices gain sway within Synedrion.","复调之声在辛迪利安内部日益得势。","Les voix Polyphoniques gagnent en influence au sein du Synédrion.","Die Stimmen der Polyphonie gewinnen im Synedrion an Einfluss.","Le voci Polifoniche acquistano influenza all'interno del Synedrion.","Głosy Polifonii zyskują wpływy w Synedrionie.","Голоса полифонистов набирают влияние в Синедрионе.","Las voces Polifónicas ganan influencia dentro del Sinedrion."
ORACLE_VAR_TERRAFORMERS,"The Terraformers' vision takes hold within Synedrion.","地貌重塑派的理念在辛迪利安内部生根。","La vision des Terraformeurs s'impose au sein du Synédrion.","Die Vision der Terraformer setzt sich im Synedrion durch.","La visione dei Terraformatori attecchisce all'interno del Synedrion.","Wizja Terraformerów zakorzenia się w Synedrionie.","Идеи терраформеров укореняются в Синедрионе.","La visión de los Terraformadores se afianza dentro del Sinedrion."
ORACLE_VAR_BC_SDI_UP,"The Pandoran threat deepens.","潘多拉的威胁愈发深重。","La menace pandoréenne s'aggrave.","Die pandoranische Bedrohung wächst.","La minaccia pandoriana si aggrava.","Zagrożenie pandoriańskie narasta.","Пандоранская угроза нарастает.","La amenaza pandoriana se agrava."
ORACLE_VAR_BC_SDI_DOWN,"The Pandoran threat recedes, for now.","潘多拉的威胁暂时消退。","La menace pandoréenne reflue, pour l'instant.","Die pandoranische Bedrohung lässt vorerst nach.","La minaccia pandoriana si ritira, per ora.","Zagrożenie pandoriańskie na razie słabnie.","Пандоранская угроза пока отступает.","La amenaza pandoriana retrocede, por ahora."
ORACLE_VAR_BEHEMOTH_EGG,"Somewhere, a Behemoth egg has hatched.","在某处，一枚贝希摩斯之卵已然孵化。","Quelque part, un œuf de Béhémoth vient d'éclore.","Irgendwo ist ein Behemoth-Ei geschlüpft.","Da qualche parte, un uovo di Behemoth si è schiuso.","Gdzieś wykluło się jajo Behemota.","Где-то вылупилось яйцо бегемота.","En algún lugar ha eclosionado un huevo de Behemoth."
ORACLE_VAR_ODI_COMPLETE,"The alien evolution has reached its terrible summit.","异形的进化已抵达其可怖的顶点。","L'évolution extraterrestre a atteint son sommet terrifiant.","Die außerirdische Evolution hat ihren furchtbaren Höhepunkt erreicht.","L'evoluzione aliena ha raggiunto il suo terribile apice.","Ewolucja obcych osiągnęła swój straszliwy szczyt.","Эволюция чужих достигла своей чудовищной вершины.","La evolución alienígena ha alcanzado su terrible cúspide."
ORACLE_VAR_THIRD_ACT,"The war enters its final act.","战争进入最终篇章。","La guerre entre dans son acte final.","Der Krieg tritt in seinen letzten Akt ein.","La guerra entra nel suo atto finale.","Wojna wkracza w swój ostatni akt.","Война вступает в свой последний акт.","La guerra entra en su acto final."
ORACLE_VAR_CITADEL,"The Pandorans have learned to raise citadels.","潘多拉生物已学会筑起要塞。","Les Pandoréens ont appris à ériger des citadelles.","Die Pandoraner haben gelernt, Zitadellen zu errichten.","I Pandoriani hanno imparato a erigere cittadelle.","Pandorianie nauczyli się wznosić cytadele.","Пандораны научились возводить цитадели.","Los pandorianos han aprendido a levantar ciudadelas."
ORACLE_VAR_UMBRA_STAGE,"The Umbra strain grows more monstrous.","昂布拉株系变得愈发狰狞。","La souche Umbra devient plus monstrueuse.","Der Umbra-Stamm wird immer monströser.","Il ceppo Umbra diventa più mostruoso.","Szczep Umbry staje się coraz potworniejszy.","Штамм умбры становится всё чудовищнее.","La cepa Umbra se vuelve más monstruosa."
ORACLE_VAR_INFESTATION,"Infestation takes root among the havens.","侵染开始在各庇护所中扎根。","L'infestation prend racine parmi les havres.","Der Befall fasst unter den Häfen Fuß.","L'infestazione mette radici tra i rifugi.","Plaga zakorzenia się wśród przystani.","Заражение пускает корни в убежищах.","La infestación arraiga entre los refugios."
ORACLE_VAR_ANCIENTS,"The trail of the Ancients grows warmer.","追寻古人的线索愈发清晰。","La piste des Anciens se réchauffe.","Die Spur der Alten wird deutlicher.","La pista degli Antichi si fa più calda.","Trop Pradawnych staje się wyraźniejszy.","След древних становится всё явственнее.","El rastro de los Antiguos se hace más nítido."
ORACLE_VAR_DELIRIUM,"One of your soldiers slips deep into delirium.","你麾下一名士兵深陷谵妄之中。","L'un de vos soldats sombre profondément dans le délire.","Einer deiner Soldaten versinkt tief im Delirium.","Uno dei tuoi soldati sprofonda nel delirio.","Jeden z twoich żołnierzy zapada głęboko w delirium.","Один из ваших бойцов глубоко погружается в бред.","Uno de tus soldados se hunde en el delirio."
ORACLE_VAR_CORRUPTED_LAIR,"A corrupted lair has been burned out.","一处腐化巢穴已被焚毁。","Un repaire corrompu a été réduit en cendres.","Ein verderbtes Nest wurde ausgebrannt.","Un covo corrotto è stato dato alle fiamme.","Skażone leże zostało wypalone.","Осквернённое логово выжжено дотла.","Una guarida corrupta ha sido calcinada."
ORACLE_VAR_FAVOR,"An old debt calls in a favor.","一笔旧债前来索取回报。","Une vieille dette réclame son dû.","Eine alte Schuld fordert einen Gefallen ein.","Un vecchio debito reclama un favore.","Stary dług upomina się o przysługę.","Старый долг требует ответной услуги.","Una vieja deuda reclama un favor."
ORACLE_VAR_OGLETHORPE,"Oglethorpe's records point to something buried in time.","奥格尔索普的记录指向某个埋藏于时间之中的事物。","Les archives d'Oglethorpe mènent à quelque chose d'enfoui dans le temps.","Oglethorpes Aufzeichnungen weisen auf etwas hin, das in der Zeit verborgen liegt.","I registri di Oglethorpe indicano qualcosa sepolto nel tempo.","Zapiski Oglethorpe'a wskazują na coś ukrytego w czasie.","Записи Оглторпа указывают на нечто, погребённое во времени.","Los registros de Oglethorpe apuntan a algo enterrado en el tiempo."
ORACLE_VAR_PHOTOGRAPHER,"The photographer's images reveal more than they should.","那位摄影师的影像揭示了本不该显现之物。","Les clichés du photographe en révèlent plus qu'ils ne le devraient.","Die Aufnahmen des Fotografen enthüllen mehr, als sie sollten.","Le immagini del fotografo rivelano più di quanto dovrebbero.","Zdjęcia fotografa ujawniają więcej, niż powinny.","Снимки фотографа раскрывают больше, чем следовало бы.","Las imágenes del fotógrafo revelan más de lo que deberían."
ORACLE_VAR_SPHERE,"The strange sphere is yours to study.","那颗诡异的球体已归你研究。","L'étrange sphère est à vous, pour l'étudier.","Die seltsame Sphäre liegt nun in deiner Hand zur Erforschung.","La strana sfera è tua da studiare.","Dziwna sfera trafia w twoje ręce do zbadania.","Загадочная сфера теперь в вашем распоряжении для изучения.","La extraña esfera es tuya para estudiarla."
ORACLE_VAR_SYMES,"Symes' alternative path has run its course.","赛姆斯的另一条道路已走到尽头。","La voie alternative de Symes est arrivée à son terme.","Symes' alternativer Weg ist an sein Ende gelangt.","Il percorso alternativo di Symes è giunto al termine.","Alternatywna ścieżka Symesa dobiegła końca.","Альтернативный путь Саймса пройден до конца.","El camino alternativo de Symes ha llegado a su fin."
ORACLE_VAR_IMPOSSIBLE_WEAPON,"An impossible weapon has been forged.","一件不可能存在的武器已被锻造出来。","Une arme impossible a été forgée.","Eine unmögliche Waffe wurde geschmiedet.","Un'arma impossibile è stata forgiata.","Wykuto niemożliwą broń.","Выковано невозможное оружие.","Se ha forjado un arma imposible."
ORACLE_VAR_CYCLOPS,"The Cyclops walks.","独眼巨人已然行走于世。","Le Cyclope marche.","Der Zyklop schreitet.","Il Ciclope cammina.","Cyklop stąpa po ziemi.","Циклоп зашагал.","El Cíclope camina."
ORACLE_VAR_PROTEAN_MUTANE,"Understanding of protean mutane deepens.","对变形素的理解愈发深入。","La compréhension du mutane protéiforme s'approfondit.","Das Verständnis des proteanischen Mutans vertieft sich.","La comprensione del mutano proteiforme si approfondisce.","Zrozumienie mutanu proteuszowego pogłębia się.","Понимание протеанового мутана углубляется.","La comprensión del mutano proteico se profundiza."
ORACLE_VAR_UMBRA_RESEARCHED,"The Umbra's secrets lie open on the slab.","昂布拉的秘密已摊开在解剖台上。","Les secrets de l'Umbra sont étalés sur la table.","Die Geheimnisse des Umbra liegen offen auf dem Tisch.","I segreti dell'Umbra giacciono aperti sul tavolo.","Sekrety Umbry leżą odsłonięte na stole.","Тайны умбры вскрыты на секционном столе.","Los secretos del Umbra yacen abiertos sobre la mesa."
ORACLE_VAR_FIRST_FLYER,"The first winged horror takes to the skies.","第一只振翅的恐怖生物升上天空。","La première horreur ailée prend son envol.","Der erste geflügelte Schrecken erhebt sich in die Lüfte.","Il primo orrore alato si leva in volo.","Pierwszy skrzydlaty koszmar wzbija się w niebo.","Первая крылатая тварь поднимается в небо.","El primer horror alado alza el vuelo."
ORACLE_VAR_BEHEMOTH_TARGET,"A Behemoth fixes its course on a haven.","一头贝希摩斯锁定了某座庇护所。","Un Béhémoth met le cap sur un havre.","Ein Behemoth nimmt Kurs auf einen Hafen.","Un Behemoth punta dritto verso un rifugio.","Behemot obiera kurs na przystań.","Бегемот берёт курс на убежище.","Un Behemoth fija su rumbo hacia un refugio."
ORACLE_VAR_BEHEMOTH_ATTACK,"A Behemoth falls upon its first haven.","一头贝希摩斯扑向它的第一座庇护所。","Un Béhémoth s'abat sur son premier havre.","Ein Behemoth fällt über seinen ersten Hafen her.","Un Behemoth si abbatte sul suo primo rifugio.","Behemot spada na swoją pierwszą przystań.","Бегемот обрушивается на своё первое убежище.","Un Behemoth se abate sobre su primer refugio."
ORACLE_VAR_BEHEMOTH_PATTERN,"A pattern emerges in the Behemoths' roaming.","贝希摩斯的游荡中浮现出某种规律。","Un schéma se dessine dans les errances des Béhémoths.","In den Wanderungen der Behemoths zeichnet sich ein Muster ab.","Nelle scorribande dei Behemoth emerge uno schema.","W wędrówkach Behemotów wyłania się pewien wzór.","В блужданиях бегемотов проступает закономерность.","Un patrón emerge en el deambular de los Behemoth."
ORACLE_VAR_BEHEMOTH_ROAM,"The Behemoths range ever wider.","贝希摩斯的活动范围不断扩大。","Les Béhémoths étendent toujours plus leur territoire.","Die Behemoths streifen immer weiter umher.","I Behemoth vagano sempre più lontano.","Behemoty wędrują coraz dalej.","Бегемоты бродят всё дальше.","Los Behemoth se extienden cada vez más lejos."
ORACLE_VAR_CHARUN,"The Charun are coming.","卡戎即将到来。","Les Charun arrivent.","Die Charun kommen.","I Charun stanno arrivando.","Charunowie nadchodzą.","Харуны идут.","Los Charun se acercan."
ORACLE_VAR_BERITH,"Word spreads of a new flying breed — the Berith.","关于新型飞行生物「贝里斯」的消息不胫而走。","La rumeur court d'une nouvelle engeance volante — les Berith.","Gerüchte über eine neue fliegende Brut gehen um — die Berith.","Si sparge voce di una nuova stirpe volante: i Berith.","Rozchodzą się wieści o nowym latającym pomiocie — Berith.","Расходятся слухи о новой летающей твари — берит.","Corre la voz de una nueva estirpe voladora: los Berith."
ORACLE_VAR_ABBADON,"The Abbadon's shadow is studied and named.","亚巴顿的阴影已被研究并命名。","L'ombre de l'Abbadon est étudiée et nommée.","Der Schatten des Abbadon wird untersucht und benannt.","L'ombra dell'Abbadon viene studiata e nominata.","Cień Abbadona zostaje zbadany i nazwany.","Тень аббадона изучена и наречена именем.","La sombra del Abbadon es estudiada y nombrada."
ORACLE_VAR_REVENANT_SPOTTED,"Revenant sightings keep mounting.","亡魂的目击报告不断增加。","Les signalements de Revenants se multiplient.","Die Sichtungen von Revenants häufen sich.","Gli avvistamenti di Revenant continuano a moltiplicarsi.","Doniesienia o Rewenantach mnożą się.","Донесения о появлении ревенантов множатся.","Los avistamientos de Revenants siguen aumentando."
ORACLE_VAR_REVENANT_DESTROYED,"Another Revenant is put down for good.","又一头亡魂被彻底了结。","Un Revenant de plus est abattu pour de bon.","Ein weiterer Revenant wurde endgültig zur Strecke gebracht.","Un altro Revenant è stato eliminato per sempre.","Kolejny Rewenant został unicestwiony na dobre.","Ещё один ревенант упокоен окончательно.","Otro Revenant es abatido para siempre."
ORACLE_VAR_REVENANT_CAPTURED,"A Revenant has been taken alive.","一头亡魂被生擒。","Un Revenant a été capturé vivant.","Ein Revenant wurde lebend gefangen.","Un Revenant è stato catturato vivo.","Schwytano Rewenanta żywcem.","Ревенант захвачен живым.","Un Revenant ha sido capturado con vida."
ORACLE_VAR_INFESTED_HAVENS_UP,"The infestation spreads to another haven.","侵染蔓延至又一座庇护所。","L'infestation gagne un nouveau havre.","Der Befall greift auf einen weiteren Hafen über.","L'infestazione si estende a un altro rifugio.","Plaga rozprzestrzenia się na kolejną przystań.","Заражение перекидывается ещё на одно убежище.","La infestación se propaga a otro refugio."
ORACLE_VAR_INFESTED_HAVENS_DOWN,"A haven is cleansed of infestation.","一座庇护所的侵染已被清除。","Un havre est purgé de l'infestation.","Ein Hafen wird vom Befall gereinigt.","Un rifugio viene ripulito dall'infestazione.","Przystań zostaje oczyszczona z plagi.","Одно из убежищ очищено от заражения.","Un refugio queda libre de la infestación."
ORACLE_VAR_TRAPPED_MIST,"Something in the mist closes in.","迷雾之中，某种东西正在逼近。","Quelque chose se rapproche dans la brume.","Etwas im Nebel kommt näher.","Qualcosa nella nebbia si avvicina.","Coś we mgle się zbliża.","Что-то в тумане подступает всё ближе.","Algo entre la niebla se aproxima."
